8002,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Carey,34.0450799,-118.5232299
8003,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Chautauqua,34.04128,-118.5183299
8005,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Church,34.0721799,-118.46751
8006,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Cory,34.0902999,-118.39236
8007,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Descanso,34.0850999,-118.2748299
8009,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Douglas,34.07422,-118.25217
8010,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Drummond,34.0430399,-118.5207099
8011,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Echo Park,34.0767099,-118.25755
8012,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Fountain,34.0958799,-118.2843599
8013,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Gordon,34.0979199,-118.32026
8014,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Hammond,34.09051,-118.3877899
8016,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Ivar,34.09788,-118.3289
8017,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / La Cruz,34.04613,-118.52446
8021,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Lucile,34.0909199,-118.2789899
8022,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Maltman,34.0897899,-118.2771099
8024,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Marion,34.06829,-118.25036
8025,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Micheltorena,34.0875899,-118.2760199
8026,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Minorca,34.04851,-118.5066099
8027,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Alexandria,34.0980099,-118.29848
8028,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Alvarado,34.07744,-118.2637699
8029,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Benton,34.0805499,-118.2705699
8030,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Park,34.0777799,-118.26181
8031,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Bronson,34.0979299,-118.31814
8032,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Cherokee,34.0978699,-118.33544
8033,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Coronado,34.07928,-118.26885
8034,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Crescent Heights,34.09788,-118.3658
8037,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Edgemont,34.09802,-118.2959699
8040,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Figueroa,34.0626699,-118.2465099
8041,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Poinsettia,34.09788,-118.34849
8042,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Gardner,34.0979099,-118.3529999
8043,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Genesee,34.09794,-118.3580599
8045,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Highland,34.09786,-118.3388099
8046,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Hobart,34.09799,-118.3057799
8047,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Kings,34.0950899,-118.37279
8048,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Kingsley,34.098,-118.3029799
8049,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / La Brea,34.0978599,-118.34428
8050,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Martel,34.09789,-118.3508
8051,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Normandie,34.098,-118.3006799
8052,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Orange,34.09786,-118.34171
8054,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Saint Andrews,34.0979799,-118.31061
8055,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Stanley,34.09794,-118.35636
8056,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Sweetzer,34.09637,-118.3703999
8057,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Van Ness,34.09794,-118.3159299
8058,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Virgil,34.0980399,-118.28757
8059,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Western,34.0979799,-118.3089
8060,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Wilton,34.0979699,-118.31376
8061,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Napoli,34.05079,-118.5049499
8062,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Horn,34.0908199,-118.38292
